,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
86,Chandpur,1981,32.45833333,21.20833333,233.4166667,80.5,0.6333333329999999,3.958333333,5.891666667000001,,,,,,,,
87,Chittagong,1981,31.95833333,21.18333333,206.5,77.5,3.275,3.783333333,6.441666667000001,554020.0,439475,178215,118335.0,,,244555.0,266795.0
88,Comilla,1981,32.38333333,20.48333333,183.1666667,79.0,1.158333333,3.133333333,6.883333333,915980.0,505480,460465,217225.0,,,250375.0,241460.0
89,Cox's Bazar,1981,32.08333333,21.5,254.3333333,79.33333333,1.266666667,3.55,6.841666667,,,,,,,,
90,Dhaka,1981,33.44166667,21.175,155.41666669999995,75.08333333,0.966666667,3.758333333,6.758333333,655420.0,337585,432070,162670.0,,,260075.0,293350.0
91,Dinajpur,1981,31.86666667,20.00833333,176.41666669999995,74.08333333,1.941666667,3.575,6.339,884660.0,497605,483205,187700.0,,,18155.0,20675.0
92,Faridpur,1981,33.3,21.09166667,217.0,78.66666667,0.833333333,2.725,6.607183908,686535.0,193680,427805,121725.0,,,68540.0,55525.0
93,Feni,1981,33.21666667,21.03333333,276.9166667,78.83333333,1.083333333,3.55,6.332183907999999,,,,,,,,
94,Noakhali,1981,30.15833333,22.3,242.5833333,80.5,1.9,3.458333333,6.462356322000001,747285.0,419850,297360,177570.0,,,121820.0,113400.0
95,Ishurdi,1981,33.78333333,20.175,186.75,75.83333333,1.35,3.4,6.606034482999999,,,,,,,,
96,Jessore,1981,34.06666667,20.56666667,156.58333330000005,77.0,2.058333333,4.025,6.291666667,668185.0,293055,574185,224330.0,,,31005.0,25955.0
97,Khepupara,1981,32.125,21.55833333,185.75,76.0,1.408333333,3.991666667,6.048397436,,,,,,,,
98,Khulna,1981,33.51666667,21.39166667,172.5,81.33333333,1.858333333,3.275,6.618888889,989470.0,508675,176710,80420.0,,,53885.0,39145.0
99,Kutubdia,1981,32.51551724,22.27701149,214.3333333,81.75,1.791666667,3.5022988510000004,7.004722222000001,,,,,,,,
100,Madaripur,1981,32.84166667,21.025,184.4166667,76.75,0.583333333,3.966666667,5.645833333,,,,,,,,
101,Maijdee Court,1981,32.09166667,21.20833333,300.8333333,77.83333333,0.7333333329999999,2.958333333,6.297413793,,,,,,,,
102,Mymensingh,1981,32.90833333,20.65,182.25,70.0,1.716666667,3.975,6.483333332999999,648460.0,379105,423400,233880.0,,,113070.0,70725.0
